<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURUSD,D,19960212,000000,1.244,1.2508,1.2435,1.2455,0,0
EURUSD,D,19960213,000000,1.245,1.248,1.2413,1.2466,0,0
EURUSD,D,19960214,000000,1.2475,1.253,1.2463,1.2512,0,0
EURUSD,D,19960215,000000,1.2515,1.2527,1.2455,1.2497,0,0
EURUSD,D,19960216,000000,1.2495,1.2575,1.2465,1.2565,0,0
EURUSD,D,19960219,000000,1.2536,1.2686,1.2534,1.2662,0,0
EURUSD,D,19960220,000000,1.2662,1.2673,1.2574,1.2658,0,0
EURUSD,D,19960221,000000,1.2657,1.2694,1.2614,1.2663,0,0
EURUSD,D,19960222,000000,1.2645,1.2662,1.2605,1.265,0,0
EURUSD,D,19960223,000000,1.2655,1.2707,1.2586,1.2675,0,0
EURUSD,D,19960226,000000,1.2685,1.2714,1.2648,1.2653,0,0
EURUSD,D,19960227,000000,1.2635,1.2727,1.2635,1.2695,0,0
EURUSD,D,19960228,000000,1.269,1.2723,1.2595,1.2618,0,0
EURUSD,D,19960229,000000,1.2585,1.2627,1.2539,1.2546,0,0
EURUSD,D,19960301,000000,1.255,1.255,1.2485,1.2515,0,0
EURUSD,D,19960304,000000,1.2535,1.2578,1.2525,1.255,0,0
EURUSD,D,19960305,000000,1.2545,1.2596,1.2523,1.259,0,0
EURUSD,D,19960306,000000,1.2595,1.2595,1.2545,1.256,0,0
EURUSD,D,19960307,000000,1.253,1.257,1.2484,1.2563,0,0
EURUSD,D,19960308,000000,1.2545,1.2597,1.2455,1.2485,0,0
EURUSD,D,19960311,000000,1.2495,1.2534,1.247,1.2485,0,0
EURUSD,D,19960312,000000,1.2483,1.2555,1.2457,1.255,0,0
EURUSD,D,19960313,000000,1.2527,1.258,1.2518,1.2556,0,0
EURUSD,D,19960314,000000,1.254,1.2574,1.2524,1.2559,0,0
EURUSD,D,19960315,000000,1.255,1.261,1.2499,1.2576,0,0
EURUSD,D,19960318,000000,1.2567,1.2601,1.2509,1.2519,0,0
EURUSD,D,19960319,000000,1.251,1.2575,1.2498,1.2568,0,0
EURUSD,D,19960320,000000,1.2565,1.2584,1.253,1.2567,0,0
EURUSD,D,19960321,000000,1.256,1.2575,1.2517,1.2521,0,0
EURUSD,D,19960322,000000,1.252,1.2554,1.2496,1.2532,0,0
EURUSD,D,19960325,000000,1.2555,1.2589,1.2535,1.2552,0,0
EURUSD,D,19960326,000000,1.2543,1.259,1.2532,1.255,0,0
EURUSD,D,19960327,000000,1.2541,1.2549,1.2474,1.2504,0,0
EURUSD,D,19960328,000000,1.249,1.2596,1.2478,1.2595,0,0
EURUSD,D,19960329,000000,1.258,1.2626,1.254,1.2555,0,0
EURUSD,D,19960401,000000,1.254,1.2548,1.2498,1.2505,0,0
EURUSD,D,19960402,000000,1.25,1.2568,1.25,1.2566,0,0
EURUSD,D,19960403,000000,1.2563,1.2596,1.254,1.2542,0,0
EURUSD,D,19960404,000000,1.254,1.2591,1.254,1.2569,0,0
EURUSD,D,19960405,000000,1.2565,1.2579,1.2515,1.2525,0,0
EURUSD,D,19960408,000000,1.2525,1.2608,1.2525,1.2546,0,0
EURUSD,D,19960409,000000,1.2549,1.2574,1.2445,1.2465,0,0
EURUSD,D,19960410,000000,1.247,1.248,1.2408,1.2466,0,0
EURUSD,D,19960411,000000,1.2455,1.2478,1.242,1.2433,0,0
EURUSD,D,19960412,000000,1.2425,1.2459,1.241,1.2434,0,0
EURUSD,D,19960415,000000,1.2396,1.2413,1.2344,1.2378,0,0
EURUSD,D,19960416,000000,1.241,1.2415,1.2365,1.238,0,0
EURUSD,D,19960417,000000,1.239,1.2428,1.2375,1.2415,0,0
EURUSD,D,19960418,000000,1.2435,1.2495,1.2354,1.2441,0,0
EURUSD,D,19960419,000000,1.2455,1.2485,1.237,1.2377,0,0
EURUSD,D,19960422,000000,1.2343,1.2397,1.2335,1.2369,0,0
EURUSD,D,19960423,000000,1.2385,1.2393,1.234,1.2354,0,0
EURUSD,D,19960424,000000,1.236,1.238,1.2338,1.237,0,0
EURUSD,D,19960425,000000,1.2357,1.2358,1.2255,1.2255,0,0
EURUSD,D,19960426,000000,1.2273,1.2336,1.224,1.2302,0,0
EURUSD,D,19960429,000000,1.231,1.2399,1.2305,1.2311,0,0
EURUSD,D,19960430,000000,1.2298,1.2348,1.2235,1.2264,0,0
EURUSD,D,19960501,000000,1.2258,1.227,1.2214,1.2215,0,0
EURUSD,D,19960502,000000,1.2227,1.2292,1.221,1.2273,0,0
EURUSD,D,19960503,000000,1.2277,1.2324,1.2252,1.2312,0,0
EURUSD,D,19960506,000000,1.232,1.2333,1.229,1.2295,0,0
EURUSD,D,19960507,000000,1.232,1.2341,1.2299,1.2299,0,0
EURUSD,D,19960508,000000,1.2289,1.2388,1.2273,1.236,0,0
EURUSD,D,19960509,000000,1.2375,1.2377,1.2325,1.233,0,0
EURUSD,D,19960510,000000,1.2329,1.2378,1.2275,1.2276,0,0
EURUSD,D,19960513,000000,1.2282,1.229,1.2236,1.2265,0,0
EURUSD,D,19960514,000000,1.227,1.2283,1.2238,1.2261,0,0
EURUSD,D,19960515,000000,1.2276,1.2294,1.2238,1.2251,0,0
EURUSD,D,19960516,000000,1.225,1.2281,1.2222,1.2277,0,0
EURUSD,D,19960517,000000,1.2292,1.2335,1.225,1.2277,0,0
